0/12030, t=0.200036s
1070/12030, t=0.285203s
1071/12030, t=0.285236s
1072/12030, t=0.285269s
1073/12030, t=0.285303s
1074/12030, t=0.285336s
1075/12030, t=0.285369s
1076/12030, t=0.285403s
1077/12030, t=0.285436s
1078/12030, t=0.285469s
1079/12030, t=0.285503s
1080/12030, t=0.285536s
1081/12030, t=0.285569s
1082/12030, t=0.285603s
1083/12030, t=0.285636s
1084/12030, t=0.285669s
1085/12030, t=0.285703s
1086/12030, t=0.285736s
1087/12030, t=0.285769s
1088/12030, t=0.285803s
1089/12030, t=0.285836s
1090/12030, t=0.285869s
1091/12030, t=0.285903s
1092/12030, t=0.285936s
1093/12030, t=0.285969s
1094/12030, t=0.286003s
1095/12030, t=0.286036s
1096/12030, t=0.286069s
1097/12030, t=0.286103s
1098/12030, t=0.286136s
1099/12030, t=0.286169s
1100/12030, t=0.286203s
1101/12030, t=0.286236s
1102/12030, t=0.286269s
1103/12030, t=0.286303s
1104/12030, t=0.286336s
1105/12030, t=0.286369s
1106/12030, t=0.286403s
1107/12030, t=0.286436s
1108/12030, t=0.286469s
1109/12030, t=0.286503s
1110/12030, t=0.286536s
1111/12030, t=0.286569s
1112/12030, t=0.286603s
1113/12030, t=0.286636s
1114/12030, t=0.286669s
1115/12030, t=0.286703s
1116/12030, t=0.286736s
1117/12030, t=0.286769s
1118/12030, t=0.286803s
1119/12030, t=0.286836s
1120/12030, t=0.286869s
1121/12030, t=0.286903s
1122/12030, t=0.286936s
1123/12030, t=0.286969s
1124/12030, t=0.287003s
1125/12030, t=0.287036s
1126/12030, t=0.287069s
1127/12030, t=0.287103s
1128/12030, t=0.287136s
1129/12030, t=0.287169s
1130/12030, t=0.287203s
1131/12030, t=0.287236s
1132/12030, t=0.287269s
1133/12030, t=0.287303s
1134/12030, t=0.287336s
1135/12030, t=0.287369s
1136/12030, t=0.287403s
1137/12030, t=0.287436s
1138/12030, t=0.287469s
1139/12030, t=0.287503s
1140/12030, t=0.287536s
1141/12030, t=0.287569s
1142/12030, t=0.287603s
1143/12030, t=0.287636s
1144/12030, t=0.287669s
1145/12030, t=0.287703s
1146/12030, t=0.287736s
1147/12030, t=0.287769s
1148/12030, t=0.287803s
1149/12030, t=0.287836s
1150/12030, t=0.287869s
1151/12030, t=0.287903s
1152/12030, t=0.287936s
1153/12030, t=0.287969s
1154/12030, t=0.288003s
1155/12030, t=0.288036s
1156/12030, t=0.288069s
1157/12030, t=0.288103s
1158/12030, t=0.288136s
1159/12030, t=0.288169s
1160/12030, t=0.288203s
1161/12030, t=0.288236s
1162/12030, t=0.288269s
1163/12030, t=0.288303s
1164/12030, t=0.288336s
1165/12030, t=0.288369s
1166/12030, t=0.288403s
1167/12030, t=0.288436s
1168/12030, t=0.288469s
1169/12030, t=0.288503s
1170/12030, t=0.288536s
1171/12030, t=0.288569s
1172/12030, t=0.288603s
1173/12030, t=0.288636s
1174/12030, t=0.288669s
1175/12030, t=0.288703s
1176/12030, t=0.288736s
1177/12030, t=0.288769s
1178/12030, t=0.288803s
1179/12030, t=0.288836s
1180/12030, t=0.288869s
1181/12030, t=0.288903s
1182/12030, t=0.288936s
1183/12030, t=0.288969s
1184/12030, t=0.289003s
1185/12030, t=0.289036s
1186/12030, t=0.289069s
1187/12030, t=0.289103s
1188/12030, t=0.289136s
1189/12030, t=0.289169s
1190/12030, t=0.289203s
1191/12030, t=0.289236s
1192/12030, t=0.289269s
1193/12030, t=0.289303s
1194/12030, t=0.289336s
1195/12030, t=0.289369s
1196/12030, t=0.289403s
1197/12030, t=0.289436s
1198/12030, t=0.289469s
1199/12030, t=0.289503s
1200/12030, t=0.289536s
1201/12030, t=0.289569s
1202/12030, t=0.289603s
1203/12030, t=0.289636s
1204/12030, t=0.289669s
1205/12030, t=0.289703s
1206/12030, t=0.289736s
1207/12030, t=0.289769s
1208/12030, t=0.289803s
1209/12030, t=0.289836s
1210/12030, t=0.289869s
1211/12030, t=0.289903s
1212/12030, t=0.289936s
1213/12030, t=0.289969s
1214/12030, t=0.290003s
1215/12030, t=0.290036s
1216/12030, t=0.290069s
1217/12030, t=0.290103s
1218/12030, t=0.290136s
1219/12030, t=0.290169s
1220/12030, t=0.290203s
1221/12030, t=0.290236s
1222/12030, t=0.290269s
1223/12030, t=0.290303s
1224/12030, t=0.290336s
1225/12030, t=0.290369s
1226/12030, t=0.290403s
1227/12030, t=0.290436s
1228/12030, t=0.290469s
1229/12030, t=0.290503s
1230/12030, t=0.290536s
1231/12030, t=0.290569s
1232/12030, t=0.290603s
1233/12030, t=0.290636s
1234/12030, t=0.290669s
1235/12030, t=0.290703s
1236/12030, t=0.290736s
1237/12030, t=0.290769s
1238/12030, t=0.290803s
1239/12030, t=0.290836s
1240/12030, t=0.290869s
1241/12030, t=0.290903s
1242/12030, t=0.290936s
1243/12030, t=0.290969s
1244/12030, t=0.291003s
1245/12030, t=0.291036s
1246/12030, t=0.291069s
1247/12030, t=0.291103s
1248/12030, t=0.291136s
1249/12030, t=0.291169s
1250/12030, t=0.291203s
1251/12030, t=0.291236s
1252/12030, t=0.291269s
1253/12030, t=0.291303s
1254/12030, t=0.291336s
1255/12030, t=0.291369s
1256/12030, t=0.291403s
1257/12030, t=0.291436s
1258/12030, t=0.291469s
1259/12030, t=0.291503s
1260/12030, t=0.291536s
1261/12030, t=0.291569s
1262/12030, t=0.291603s
1263/12030, t=0.291636s
1264/12030, t=0.291669s
1265/12030, t=0.291703s
1266/12030, t=0.291736s
1267/12030, t=0.291769s
1268/12030, t=0.291803s
1269/12030, t=0.291836s
1270/12030, t=0.291869s
1271/12030, t=0.291903s
1272/12030, t=0.291936s
1273/12030, t=0.291969s
1274/12030, t=0.292003s
1275/12030, t=0.292036s
1276/12030, t=0.292069s
1277/12030, t=0.292103s
1278/12030, t=0.292136s
1279/12030, t=0.292169s
1280/12030, t=0.292203s
1281/12030, t=0.292236s
1282/12030, t=0.292269s
1283/12030, t=0.292303s
1284/12030, t=0.292336s
1285/12030, t=0.292369s
1286/12030, t=0.292403s
1287/12030, t=0.292436s
1288/12030, t=0.292469s
1289/12030, t=0.292503s
1290/12030, t=0.292536s
1291/12030, t=0.292569s
1292/12030, t=0.292603s
1293/12030, t=0.292636s
1294/12030, t=0.292669s
1295/12030, t=0.292703s
1296/12030, t=0.292736s
1297/12030, t=0.292769s
1298/12030, t=0.292803s
1299/12030, t=0.292836s
1300/12030, t=0.292869s
1301/12030, t=0.292903s
1302/12030, t=0.292936s
1303/12030, t=0.292969s
1304/12030, t=0.293003s
1305/12030, t=0.293036s
1306/12030, t=0.293069s
1307/12030, t=0.293103s
1308/12030, t=0.293136s
1309/12030, t=0.293169s
1310/12030, t=0.293203s
1311/12030, t=0.293236s
1312/12030, t=0.293269s
1313/12030, t=0.293303s
1314/12030, t=0.293336s
1315/12030, t=0.293369s
1316/12030, t=0.293403s
1317/12030, t=0.293436s
1318/12030, t=0.293469s
1319/12030, t=0.293503s
1320/12030, t=0.293536s
1321/12030, t=0.293569s
1322/12030, t=0.293603s
1323/12030, t=0.293636s
1324/12030, t=0.293669s
1325/12030, t=0.293703s
1326/12030, t=0.293736s
1327/12030, t=0.293769s
1328/12030, t=0.293803s
1329/12030, t=0.293836s
1330/12030, t=0.293869s
1331/12030, t=0.293903s
1332/12030, t=0.293936s
1333/12030, t=0.293969s
1334/12030, t=0.294003s
1335/12030, t=0.294036s
1336/12030, t=0.294069s
1337/12030, t=0.294103s
1338/12030, t=0.294136s
1339/12030, t=0.294169s
1340/12030, t=0.294203s
1341/12030, t=0.294236s
1342/12030, t=0.294269s
1343/12030, t=0.294303s
1344/12030, t=0.294336s
1345/12030, t=0.294369s
1346/12030, t=0.294403s
1347/12030, t=0.294436s
1348/12030, t=0.294469s
1349/12030, t=0.294503s
1350/12030, t=0.294536s
1351/12030, t=0.294569s
1352/12030, t=0.294603s
1353/12030, t=0.294636s
1354/12030, t=0.294669s
1355/12030, t=0.294703s
1356/12030, t=0.294736s
1357/12030, t=0.294769s
1358/12030, t=0.294803s
1359/12030, t=0.294836s
1360/12030, t=0.294869s
1361/12030, t=0.294903s
1362/12030, t=0.294936s
1363/12030, t=0.294969s
1364/12030, t=0.295003s
1365/12030, t=0.295036s
1366/12030, t=0.295069s
1367/12030, t=0.295103s
1368/12030, t=0.295136s
1369/12030, t=0.295169s
1370/12030, t=0.295203s
1371/12030, t=0.295236s
1372/12030, t=0.295269s
1373/12030, t=0.295303s
1374/12030, t=0.295336s
1375/12030, t=0.295369s
1376/12030, t=0.295403s
1377/12030, t=0.295436s
1378/12030, t=0.295469s
1379/12030, t=0.295503s
1380/12030, t=0.295536s
1381/12030, t=0.295569s
1382/12030, t=0.295603s
1383/12030, t=0.295636s
1384/12030, t=0.295669s
1385/12030, t=0.295703s
1386/12030, t=0.295736s
1387/12030, t=0.295769s
1388/12030, t=0.295803s
1389/12030, t=0.295836s
1390/12030, t=0.295869s
1391/12030, t=0.295903s
1392/12030, t=0.295936s
1393/12030, t=0.295969s
1394/12030, t=0.296003s
1395/12030, t=0.296036s
1396/12030, t=0.296069s
1397/12030, t=0.296103s
1398/12030, t=0.296136s
1399/12030, t=0.296169s
1400/12030, t=0.296203s
1401/12030, t=0.296236s
1402/12030, t=0.296269s
1403/12030, t=0.296303s
1404/12030, t=0.296336s
1405/12030, t=0.296369s
1406/12030, t=0.296403s
1407/12030, t=0.296436s
1408/12030, t=0.296469s
1409/12030, t=0.296503s
1410/12030, t=0.296536s
