0/6090, t=0.200031s
1/6090, t=0.203364s
2/6090, t=0.206698s
3/6090, t=0.210031s
4/6090, t=0.213364s
5/6090, t=0.216698s
6/6090, t=0.220031s
7/6090, t=0.223364s
8/6090, t=0.226698s
9/6090, t=0.230031s
10/6090, t=0.233364s
11/6090, t=0.236698s
12/6090, t=0.240031s
13/6090, t=0.243364s
14/6090, t=0.246698s
15/6090, t=0.250031s
16/6090, t=0.253364s
17/6090, t=0.256698s
18/6090, t=0.260031s
19/6090, t=0.263364s
20/6090, t=0.266698s
21/6090, t=0.270031s
22/6090, t=0.273364s
23/6090, t=0.276698s
24/6090, t=0.280031s
25/6090, t=0.283364s
26/6090, t=0.286698s
27/6090, t=0.290031s
28/6090, t=0.293364s
29/6090, t=0.296698s
30/6090, t=0.300031s
31/6090, t=0.303364s
32/6090, t=0.306698s
33/6090, t=0.310031s
34/6090, t=0.313364s
35/6090, t=0.316698s
36/6090, t=0.320031s
37/6090, t=0.323364s
38/6090, t=0.326698s
39/6090, t=0.330031s
40/6090, t=0.333364s
41/6090, t=0.336698s
42/6090, t=0.340031s
43/6090, t=0.343364s
44/6090, t=0.346698s
45/6090, t=0.350031s
46/6090, t=0.353364s
47/6090, t=0.356698s
48/6090, t=0.360031s
49/6090, t=0.363364s
50/6090, t=0.366698s
51/6090, t=0.370031s
52/6090, t=0.373364s
53/6090, t=0.376698s
54/6090, t=0.380031s
55/6090, t=0.383364s
56/6090, t=0.386698s
57/6090, t=0.390031s
58/6090, t=0.393364s
59/6090, t=0.396698s
60/6090, t=0.400031s
61/6090, t=0.400064s
62/6090, t=0.400098s
63/6090, t=0.400131s
64/6090, t=0.400164s
65/6090, t=0.400198s
66/6090, t=0.400231s
67/6090, t=0.400264s
68/6090, t=0.400298s
69/6090, t=0.400331s
70/6090, t=0.400364s
71/6090, t=0.400398s
72/6090, t=0.400431s
73/6090, t=0.400464s
74/6090, t=0.400498s
75/6090, t=0.400531s
76/6090, t=0.400564s
77/6090, t=0.400598s
78/6090, t=0.400631s
79/6090, t=0.400664s
80/6090, t=0.400698s
81/6090, t=0.400731s
82/6090, t=0.400764s
83/6090, t=0.400798s
84/6090, t=0.400831s
85/6090, t=0.400864s
86/6090, t=0.400898s
87/6090, t=0.400931s
88/6090, t=0.400964s
89/6090, t=0.400998s
90/6090, t=0.401031s
91/6090, t=0.401064s
92/6090, t=0.401098s
93/6090, t=0.401131s
94/6090, t=0.401164s
95/6090, t=0.401198s
96/6090, t=0.401231s
97/6090, t=0.401264s
98/6090, t=0.401298s
99/6090, t=0.401331s
100/6090, t=0.401364s
101/6090, t=0.401398s
102/6090, t=0.401431s
103/6090, t=0.401464s
104/6090, t=0.401498s
105/6090, t=0.401531s
106/6090, t=0.401564s
107/6090, t=0.401598s
108/6090, t=0.401631s
109/6090, t=0.401664s
110/6090, t=0.401698s
111/6090, t=0.401731s
112/6090, t=0.401764s
113/6090, t=0.401798s
114/6090, t=0.401831s
115/6090, t=0.401864s
116/6090, t=0.401898s
117/6090, t=0.401931s
118/6090, t=0.401964s
119/6090, t=0.401998s
120/6090, t=0.402031s
121/6090, t=0.402064s
122/6090, t=0.402098s
123/6090, t=0.402131s
124/6090, t=0.402164s
125/6090, t=0.402198s
126/6090, t=0.402231s
127/6090, t=0.402264s
128/6090, t=0.402298s
129/6090, t=0.402331s
130/6090, t=0.402364s
