49000	56.96
49005	56.67
49010	56.10
49015	38.50
49020	56.07
49030	37.57
49035	64.60
49040	63.33
49045	66.24
49050	57.05
49055	51.37
49060	47.50
49065	38.46
49070	65.00
49075	63.55
49080	44.19
49085	45.28
49095	51.73
49100	66.49
49105	62.89
49110	65.35
49115	39.50
49120	64.78
49135	53.90
49140	65.43
49145	65.12
49150	63.41
49155	41.52
49160	35.25
49165	61.80
49170	59.07
49175	42.30
49180	78.29
49185	39.12
49190	60.05
49195	47.85
49200	63.56
49210	42.29
49215	47.96
49220	55.26
49225	39.02
49230	57.96
49235	37.18
49240	45.83
49245	66.34
49250	60.02
49255	56.80
49260	52.74
49265	37.84
49270	65.49
49275	66.50
49285	49.91
49290	68.23
49295	67.29
49300	67.39
49305	39.43
49310	56.05
49315	63.53
49320	65.51
49325	55.95
49330	37.82
49335	41.03
49345	66.85
49350	38.04
49355	62.19
49360	66.89
49365	53.48
49370	63.42
49375	56.56
49380	64.40
49385	47.87
49390	67.25
49395	52.99
49400	53.77
49405	66.21
49410	65.57
49415	57.09
49420	65.12
49425	57.87
49430	57.74
49435	67.05
49440	38.80
49445	56.10
49450	69.08
49460	54.56
49465	66.01
49470	38.08
49475	39.92
49905	36.22
49915	37.54
49925	40.77
49930	70.45
49955	49.19
49960	49.43
49965	49.06
50030	40.72
50035	39.89
50135	35.54
50140	35.83
50190	39.31
50195	36.03
50200	50.91
50205	74.25
50210	50.35
50215	77.40
50220	49.10
50225	53.69
50230	34.97
50235	40.58
50240	41.64
50250	68.95
50255	37.28
50260	38.98
50265	66.79
50270	38.11
50275	49.70
50280	51.11
50285	60.21
50290	38.43
50295	54.78
50300	56.46
50305	59.23
50315	69.74
50320	56.08
50325	38.53
50330	53.30
50335	41.34
50340	38.81
50345	68.75
50350	82.30
50360	67.87
50365	71.26
50370	81.25
50375	72.20
50380	69.42
50385	38.38
50390	70.71
50395	78.44
50400	55.69
50405	77.82
50410	47.28
50415	72.50
50420	65.93
50425	34.49
50430	51.31
50435	75.25
50440	49.25
50445	67.22
50450	37.87
50455	40.36
50460	68.77
50465	52.35
50470	49.16
50475	69.16
50480	66.94
50485	37.79
50490	57.82
50495	44.03
50500	79.81
50505	51.18
50510	79.93
50515	58.75
50520	57.49
50525	53.76
50530	69.02
50535	44.63
50540	49.03
50545	78.49
50550	37.12
50555	85.63
50560	84.38
50565	64.18
50570	54.30
50575	70.12
50580	77.28
50585	55.00
50590	74.22
50595	79.75
50600	45.02
50605	48.88
50610	72.81
50615	45.88
50620	56.25
50625	50.96
50630	60.93
50635	79.70
50640	56.36
50645	76.55
50650	82.79
50655	53.28
50660	56.40
50665	44.37
50670	66.28
50675	83.80
50680	44.08
50685	53.39
50690	67.19
50695	83.25
50700	40.41
50715	67.97
50720	67.42
50725	52.90
50730	75.11
50740	80.36
50745	78.50
50750	38.02
50755	66.02
50760	69.63
50765	67.21
50770	79.51
50775	76.90
50780	76.73
50785	67.89
50790	44.13
50795	43.73
50800	37.82
50805	37.80
50810	43.73
50815	77.57
50820	57.42
50825	76.47
50830	82.88
50835	81.82
50840	82.00
50845	38.27
50850	73.82
50855	78.65
50860	56.61
50865	35.88
50870	81.20
50875	39.09
50880	75.41
50885	79.40
50890	46.98
50900	78.05
50905	72.88
50910	52.37
50915	47.02
50920	57.38
50925	40.55
50930	78.57
50935	80.60
50940	37.88
50945	75.83
50955	79.82
50960	67.70
50965	74.23
50970	56.15
50975	44.16
50980	70.05
50985	74.36
50990	73.38
50995	68.55
51000	58.41
51005	48.78
51010	82.35
51015	82.37
51020	50.26
51025	50.39
51030	49.04
51035	51.60
51040	60.24
51045	58.30
51050	67.23
51055	66.44
51070	37.42
51075	59.29
51080	39.72
51085	39.79
